#{"t_start": 1653469310.1659322, "env_id": null}
r,l,t
2.0,7,10.962616
0.0,2,10.970661
0.0,1,10.978357
2.0,9,11.006877
0.0,1,11.014288
1.0,3,11.028616
0.0,1,11.036781
0.0,1,11.044674
1.0,5,11.059957
1.0,6,11.077383
2.0,9,11.110104
0.0,3,11.123992
0.0,3,11.136389
3.0,11,11.171725
0.0,1,11.179326
0.0,3,11.189457
1.0,5,11.208203
1.0,5,11.226732
0.0,1,11.237251
1.0,6,11.256554
1.0,7,11.279077
1.0,4,11.293936
0.0,3,11.308001
0.0,1,11.315761
0.0,3,11.32712
0.0,1,11.338301
0.0,1,11.346797
0.0,5,11.367022
1.0,6,11.387346
1.0,5,11.405079
0.0,3,11.418169
1.0,4,11.431261
1.0,6,11.452159
1.0,6,11.4699
0.0,12,11.499599
1.0,7,11.523715
0.0,2,11.533141
1.0,4,11.54999
0.0,3,11.56353
1.0,4,11.579941
1.0,9,11.608522
1.0,11,11.64136
1.0,6,11.661198
0.0,3,11.674969
1.0,8,11.701945
1.0,5,11.72061
0.0,3,11.72963
1.0,6,11.749587
1.0,5,11.767104
2.0,8,11.792394
1.0,5,11.810661
1.0,6,11.828058
1.0,6,11.849431
1.0,6,11.870164
1.0,5,11.88749
1.0,4,11.901006
0.0,1,11.913467
0.0,3,11.926239
0.0,1,11.934927
0.0,1,11.946031
2.0,9,11.975128
1.0,4,11.993869
1.0,8,12.019836
0.0,3,12.032801
2.0,11,12.07008
0.0,1,12.077709
0.0,1,12.085272
2.0,7,12.108168
0.0,1,12.119717
0.0,5,12.135581
1.0,6,12.155479
1.0,6,12.175244
0.0,1,12.183633
0.0,3,12.198045
1.0,9,12.224669
1.0,6,12.244492
0.0,6,12.263214
1.0,4,12.278462
1.0,5,12.294364
0.0,3,12.307176
0.0,3,12.32041
0.0,3,12.33353
0.0,3,12.346208
0.0,5,12.364126
1.0,5,12.383407
1.0,9,12.411573
1.0,5,12.428197
1.0,4,12.445145
1.0,5,12.463944
0.0,1,12.472396
0.0,2,12.481569
0.0,3,12.493204
0.0,1,12.500483
1.0,4,12.516847
0.0,3,12.529669
0.0,3,12.542325
1.0,5,12.56106
2.0,7,12.585497
1.0,6,12.607355
1.0,11,12.63965
0.0,1,12.647594
0.0,3,12.663068
0.0,3,12.678153
2.0,11,12.713968
0.0,4,12.728123
2.0,9,12.757496
1.0,5,12.774619
0.0,3,12.788036
0.0,4,12.803696
2.0,6,12.823353
0.0,2,12.832299
0.0,2,12.84265
0.0,2,12.851426
1.0,8,12.875128
1.0,6,12.895425
0.0,3,12.906196
0.0,1,12.916374
0.0,2,12.924797
0.0,3,12.940692
1.0,7,12.96415
1.0,5,12.981355
0.0,3,12.997004
1.0,7,13.018985
1.0,6,13.039599
2.0,12,13.074889
2.0,9,13.099156
0.0,1,13.109582
1.0,3,13.121142
1.0,8,13.146537
1.0,6,13.166912
1.0,4,13.183814
1.0,9,13.211633
1.0,4,13.2253
1.0,6,13.244971
1.0,5,13.263397
1.0,5,13.281684
0.0,1,13.288968
0.0,3,13.300753
0.0,1,13.310694
0.0,1,13.318325
1.0,5,13.336448
0.0,3,13.348596
0.0,1,13.357577
2.0,9,13.378378
2.0,7,13.402206
0.0,3,13.414891
0.0,3,13.429391
2.0,8,13.454062
0.0,3,13.465379
1.0,4,13.482274
0.0,3,13.49669
1.0,6,13.518633
0.0,3,13.532242
0.0,1,13.542618
0.0,4,13.553853
0.0,3,13.570259
1.0,7,13.588485
0.0,2,13.599049
2.0,6,13.619333
2.0,11,13.648996
0.0,6,13.665947
0.0,1,13.675489
1.0,9,13.699431
1.0,5,13.715707
0.0,1,13.725851
0.0,6,13.743125
0.0,8,13.765553
1.0,6,13.790416
0.0,7,13.810091
1.0,9,13.835402
1.0,6,13.855481
1.0,6,13.874614
2.0,5,13.891899
0.0,1,13.899196
1.0,5,13.918368
0.0,1,13.929061
0.0,1,13.93722
0.0,1,13.944614
0.0,1,13.952152
0.0,3,13.9649
0.0,3,13.976859
1.0,4,13.992989
0.0,4,14.008473
1.0,5,14.0288
1.0,8,14.053906
1.0,5,14.071595
0.0,3,14.083836
1.0,8,14.109993
0.0,5,14.127594
0.0,3,14.139189
0.0,1,14.150188
0.0,2,14.157927
0.0,3,14.172704
3.0,11,14.202857
0.0,1,14.211058
0.0,4,14.225573
1.0,5,14.242266
0.0,5,14.258614
0.0,1,14.265994
0.0,1,14.273731
0.0,1,14.281143
1.0,4,14.298097
0.0,1,14.306571
0.0,1,14.316388
1.0,5,14.333817
0.0,3,14.342836
0.0,1,14.350258
0.0,3,14.364058
1.0,4,14.378595
1.0,4,14.394622
0.0,2,14.403469
0.0,2,14.41302
0.0,2,14.423526
1.0,6,14.443315
2.0,6,14.462703
0.0,2,14.473479
0.0,1,14.481151
1.0,7,14.499607
1.0,5,14.516578
1.0,4,14.531622
1.0,6,14.551893
0.0,2,14.562012
1.0,6,14.581956
0.0,3,14.593972
2.0,7,14.619254
0.0,6,14.638776
