#{"t_start": 1651589491.544666, "env_id": null}
r,l,t
0.0,3,11.351799
0.0,5,11.367612
1.0,3,11.379968
1.0,11,11.405548
0.0,2,11.417017
1.0,5,11.432779
0.0,2,11.442409
0.0,2,11.452772
1.0,9,11.473
0.0,2,11.483207
0.0,1,11.492139
2.0,8,11.512857
0.0,5,11.528947
0.0,2,11.538007
0.0,2,11.54944
1.0,4,11.563435
1.0,6,11.58121
0.0,2,11.591239
0.0,2,11.602362
0.0,4,11.617298
0.0,2,11.627934
0.0,1,11.636045
0.0,2,11.64625
0.0,5,11.662133
0.0,2,11.673762
1.0,6,11.692501
0.0,3,11.705391
0.0,1,11.714479
0.0,1,11.722878
0.0,1,11.731495
0.0,3,11.741538
0.0,4,11.755105
0.0,2,11.765046
0.0,1,11.773262
0.0,3,11.786768
0.0,1,11.795195
3.0,15,11.829837
0.0,4,11.842151
0.0,3,11.853928
0.0,1,11.862051
0.0,1,11.870729
1.0,4,11.884476
2.0,6,11.902543
0.0,1,11.911758
0.0,1,11.919855
0.0,2,11.928907
0.0,3,11.939645
1.0,5,11.956946
1.0,4,11.971521
0.0,1,11.979952
0.0,1,11.988692
0.0,2,11.997737
0.0,7,12.015301
0.0,1,12.024619
1.0,4,12.038952
0.0,1,12.048125
0.0,1,12.057576
0.0,3,12.069923
0.0,1,12.078809
0.0,3,12.089581
0.0,2,12.10047
0.0,2,12.110021
2.0,7,12.130085
1.0,5,12.146331
0.0,2,12.15718
0.0,2,12.167635
1.0,3,12.180215
0.0,2,12.190654
0.0,2,12.200963
1.0,6,12.218092
1.0,4,12.233199
1.0,4,12.247622
0.0,3,12.260246
0.0,3,12.271965
0.0,1,12.28095
0.0,3,12.294205
0.0,3,12.304322
0.0,3,12.315974
0.0,3,12.325832
0.0,3,12.338906
0.0,2,12.348784
0.0,6,12.366088
2.0,9,12.388983
1.0,4,12.403636
2.0,7,12.424249
0.0,1,12.431777
0.0,1,12.440136
1.0,4,12.452843
0.0,1,12.462665
0.0,1,12.470903
0.0,1,12.479915
0.0,2,12.491191
1.0,5,12.507629
0.0,1,12.515977
1.0,3,12.528222
1.0,6,12.546124
0.0,2,12.556433
0.0,2,12.565853
0.0,2,12.577524
0.0,2,12.586413
0.0,1,12.595167
0.0,2,12.604599
0.0,2,12.614776
1.0,3,12.628173
1.0,6,12.644933
0.0,1,12.65381
2.0,9,12.677958
0.0,3,12.689445
0.0,6,12.707139
0.0,2,12.717418
0.0,1,12.726339
0.0,2,12.736297
0.0,2,12.746421
1.0,6,12.763686
0.0,5,12.778123
0.0,2,12.787272
0.0,3,12.799853
0.0,2,12.809636
0.0,2,12.818804
0.0,1,12.827334
0.0,3,12.838769
0.0,1,12.84657
0.0,1,12.855176
0.0,3,12.868454
0.0,1,12.876152
1.0,5,12.887954
0.0,1,12.896234
0.0,1,12.904404
0.0,1,12.912225
0.0,3,12.924663
0.0,2,12.936015
0.0,1,12.944229
2.0,10,12.970245
0.0,2,12.979894
0.0,2,12.98941
1.0,5,13.00481
0.0,2,13.016
0.0,2,13.02668
0.0,1,13.03534
2.0,8,13.055963
1.0,4,13.070017
1.0,7,13.088073
0.0,1,13.096632
0.0,3,13.107317
0.0,1,13.116419
0.0,1,13.124459
0.0,4,13.139273
0.0,1,13.148116
0.0,1,13.15625
0.0,1,13.164809
0.0,3,13.176757
0.0,1,13.185763
1.0,5,13.200242
0.0,4,13.21535
0.0,1,13.223751
0.0,7,13.242529
0.0,3,13.254065
2.0,10,13.278673
0.0,1,13.286814
0.0,2,13.297714
0.0,1,13.306342
1.0,5,13.320595
0.0,1,13.331014
1.0,5,13.348727
1.0,6,13.367063
0.0,1,13.37517
1.0,8,13.397053
0.0,5,13.413313
0.0,2,13.424146
0.0,3,13.434937
0.0,1,13.444138
0.0,4,13.456856
0.0,3,13.468842
0.0,1,13.477239
0.0,1,13.485679
0.0,3,13.497724
0.0,1,13.505867
0.0,1,13.514549
0.0,1,13.523251
0.0,3,13.535428
0.0,2,13.546566
2.0,8,13.566545
0.0,1,13.574628
1.0,9,13.598279
0.0,1,13.608164
0.0,1,13.61679
0.0,2,13.626926
0.0,6,13.643243
0.0,2,13.653556
0.0,3,13.664958
2.0,8,13.68661
0.0,4,13.700142
1.0,7,13.722355
0.0,4,13.736414
0.0,6,13.75572
0.0,3,13.767584
0.0,1,13.777013
0.0,1,13.784452
0.0,2,13.793965
1.0,5,13.809695
0.0,3,13.822589
0.0,1,13.830441
2.0,7,13.849249
0.0,3,13.861911
0.0,1,13.871141
0.0,4,13.884373
0.0,2,13.895118
1.0,5,13.911329
0.0,1,13.918834
1.0,4,13.932366
0.0,1,13.94057
1.0,6,13.957982
0.0,2,13.967072
0.0,3,13.9793
1.0,5,13.99627
0.0,3,14.007603
0.0,1,14.016215
0.0,1,14.024737
0.0,1,14.033849
0.0,3,14.045635
0.0,3,14.058343
1.0,7,14.077267
0.0,3,14.089189
0.0,1,14.097632
0.0,1,14.105604
0.0,1,14.113529
0.0,2,14.123799
0.0,1,14.132264
0.0,3,14.143959
0.0,1,14.151773
1.0,4,14.165772
0.0,3,14.177377
1.0,5,14.192878
0.0,3,14.204117
0.0,3,14.275285
0.0,2,14.285866
0.0,1,14.293331
0.0,2,14.303432
0.0,3,14.315717
0.0,1,14.324646
0.0,2,14.334277
0.0,2,14.34373
0.0,6,14.362269
0.0,3,14.373834
0.0,2,14.384671
1.0,5,14.400002
0.0,4,14.413552
1.0,5,14.42842
2.0,9,14.451622
0.0,4,14.466423
0.0,2,14.476784
0.0,3,14.489345
0.0,2,14.49895
1.0,6,14.51722
0.0,2,14.527349
0.0,1,14.534613
1.0,5,14.549975
0.0,1,14.557714
0.0,3,14.570956
0.0,1,14.578674
0.0,1,14.588113
0.0,5,14.603891
0.0,1,14.612005
0.0,5,14.626065
1.0,5,14.643147
0.0,2,14.653579
1.0,3,14.665397
0.0,7,14.684338
1.0,5,14.698495
0.0,1,14.706443
0.0,3,14.718402
0.0,2,14.72954
0.0,3,14.740937
0.0,3,14.751714
0.0,1,14.760287
1.0,9,14.784258
0.0,1,14.791999
0.0,1,14.801126
0.0,1,14.809281
0.0,3,14.820117
1.0,6,14.839882
0.0,1,14.848152
0.0,4,14.862886
0.0,3,14.876074
0.0,3,14.887246
0.0,2,14.896646
1.0,5,14.912306
0.0,4,14.924195
0.0,4,14.936926
1.0,7,14.957132
0.0,6,14.974005
0.0,1,14.982857
0.0,1,14.991494
0.0,2,15.000785
0.0,1,15.008908
1.0,4,15.020409
0.0,4,15.03354
0.0,1,15.041684
0.0,1,15.050791
1.0,4,15.066082
1.0,4,15.078726
0.0,1,15.087666
0.0,4,15.101006
0.0,1,15.109415
0.0,2,15.122041
0.0,2,15.131952
0.0,3,15.144017
1.0,4,15.158647
1.0,8,15.180368
0.0,2,15.189854
0.0,1,15.198672
0.0,2,15.209368
0.0,2,15.218347
1.0,7,15.238231
1.0,8,15.260405
0.0,1,15.268321
1.0,5,15.285067
0.0,3,15.295918
0.0,1,15.304965
0.0,1,15.313376
0.0,3,15.325387
0.0,3,15.337578
0.0,1,15.346147
0.0,2,15.357059
0.0,1,15.365497
0.0,1,15.373683
1.0,4,15.387378
1.0,5,15.403811
0.0,3,15.415413
1.0,6,15.432095
2.0,10,15.457624
0.0,3,15.469747
0.0,1,15.478778
0.0,1,15.486634
0.0,2,15.497108
0.0,1,15.504607
0.0,1,15.513452
1.0,5,15.529981
2.0,9,15.553997
0.0,4,15.566695
0.0,3,15.578057
0.0,2,15.586863
0.0,1,15.595018
0.0,1,15.603083
0.0,4,15.61606
0.0,1,15.623731
0.0,1,15.631397
0.0,1,15.639822
1.0,6,15.65731
1.0,5,15.67425
1.0,6,15.692419
1.0,7,15.714483
1.0,4,15.729015
0.0,1,15.737567
0.0,1,15.74577
0.0,1,15.753367
0.0,2,15.762506
0.0,1,15.770047
1.0,9,15.7946
2.0,9,15.817579
0.0,1,15.826491
1.0,3,15.837444
0.0,3,15.848688
0.0,2,15.857192
1.0,4,15.870775
0.0,2,15.880276
1.0,5,15.895676
2.0,9,15.918944
0.0,3,15.932088
0.0,2,15.941001
1.0,8,15.96294
0.0,2,15.972582
0.0,3,15.984875
2.0,9,16.007844
0.0,3,16.021025
0.0,5,16.035192
