#{"t_start": 1653531679.7720191, "env_id": null}
r,l,t
0.0,2,12.252705
0.0,3,12.264312
0.0,2,12.273366
0.0,1,12.282378
0.0,1,12.290309
0.0,1,12.299489
0.0,2,12.309857
0.0,2,12.318773
0.0,3,12.329102
1.0,3,12.341489
0.0,1,12.350106
0.0,2,12.360702
1.0,7,12.376966
0.0,5,12.391729
1.0,7,12.407991
0.0,2,12.418509
0.0,1,12.42652
2.0,7,12.444227
0.0,1,12.452372
0.0,2,12.459843
0.0,3,12.470468
0.0,1,12.47907
0.0,3,12.491091
0.0,1,12.499264
0.0,4,12.511891
0.0,3,12.523356
0.0,2,12.532417
0.0,1,12.541709
0.0,1,12.550211
0.0,3,12.562421
0.0,2,12.571193
0.0,4,12.584928
0.0,2,12.594624
0.0,2,12.60406
0.0,1,12.613243
0.0,2,12.623216
0.0,2,12.632905
0.0,2,12.643514
0.0,1,12.651989
0.0,4,12.664943
0.0,1,12.672562
0.0,5,12.687853
0.0,1,12.696061
0.0,3,12.707308
1.0,9,12.727846
0.0,1,12.737138
0.0,3,12.749604
1.0,5,12.764362
0.0,2,12.774424
0.0,2,12.784282
1.0,5,12.798648
0.0,1,12.807046
0.0,1,12.815616
1.0,5,12.830582
0.0,1,12.839489
0.0,4,12.852359
0.0,2,12.861332
0.0,5,12.877176
0.0,1,12.88531
0.0,1,12.894724
0.0,3,12.907017
0.0,1,12.915946
0.0,1,12.924808
0.0,2,12.936647
0.0,2,12.945425
0.0,1,12.955056
1.0,5,12.967666
0.0,1,12.976457
1.0,4,12.991074
0.0,2,13.00139
0.0,1,13.01186
2.0,7,13.028391
0.0,4,13.042507
0.0,2,13.052204
0.0,3,13.063326
1.0,4,13.0779
0.0,3,13.087869
0.0,3,13.100967
0.0,3,13.114008
0.0,1,13.1223
0.0,4,13.136648
0.0,1,13.146335
0.0,1,13.155169
0.0,1,13.163888
0.0,1,13.172998
0.0,3,13.185686
0.0,1,13.193949
0.0,3,13.206095
0.0,1,13.214459
0.0,1,13.223735
1.0,4,13.236184
0.0,8,13.255942
0.0,4,13.269066
0.0,4,13.283494
1.0,6,13.300455
0.0,5,13.314246
0.0,1,13.32319
0.0,1,13.33225
0.0,1,13.341579
0.0,1,13.349766
0.0,1,13.358833
0.0,5,13.37455
0.0,1,13.38398
0.0,3,13.39498
0.0,2,13.405144
0.0,1,13.413504
0.0,2,13.421712
0.0,1,13.429911
0.0,2,13.439501
0.0,1,13.447494
0.0,2,13.454918
0.0,2,13.464254
0.0,2,13.473585
0.0,4,13.488359
0.0,1,13.496583
0.0,2,13.506267
0.0,3,13.516716
0.0,3,13.527727
0.0,1,13.535308
0.0,4,13.545358
0.0,2,13.553644
0.0,1,13.56186
0.0,12,13.584966
1.0,4,13.598792
0.0,2,13.607373
0.0,3,13.617505
0.0,3,13.627649
0.0,1,13.634996
1.0,5,13.647648
0.0,1,13.656543
1.0,5,13.670665
0.0,1,13.680024
0.0,6,13.694819
0.0,1,13.703484
0.0,3,13.715939
0.0,2,13.726056
0.0,3,13.737713
1.0,6,13.755885
0.0,2,13.766356
0.0,1,13.774992
1.0,6,13.789396
1.0,5,13.805745
