#{"t_start": 1653465590.4580643, "env_id": null}
r,l,t
0.0,2,6.194968
0.0,1,6.202816
0.0,1,6.210109
0.0,1,6.21684
1.0,4,6.230061
0.0,1,6.23763
0.0,3,6.249642
0.0,1,6.257581
0.0,2,6.267407
0.0,3,6.278372
0.0,3,6.288494
0.0,2,6.297546
0.0,1,6.304482
0.0,1,6.315361
0.0,1,6.323651
0.0,2,6.334087
0.0,4,6.347376
0.0,2,6.356196
0.0,3,6.367293
1.0,8,6.388748
0.0,1,6.395979
0.0,2,6.405174
2.0,13,6.43588
0.0,2,6.445561
0.0,3,6.456508
0.0,1,6.464084
0.0,2,6.474783
0.0,1,6.482552
0.0,1,6.490631
0.0,1,6.499818
0.0,1,6.507869
0.0,2,6.518606
0.0,2,6.527514
0.0,1,6.535876
0.0,1,6.542865
0.0,1,6.549969
0.0,1,6.558219
1.0,6,6.576228
0.0,2,6.58614
0.0,1,6.593052
0.0,4,6.60692
0.0,2,6.616947
0.0,1,6.624213
0.0,1,6.633205
0.0,1,6.642023
0.0,3,6.653351
0.0,1,6.661021
0.0,1,6.66922
0.0,3,6.680983
0.0,1,6.688658
0.0,1,6.69639
0.0,1,6.704664
2.0,7,6.724348
0.0,3,6.735861
0.0,5,6.749338
0.0,3,6.759513
1.0,4,6.773579
1.0,5,6.789304
0.0,1,6.79647
0.0,2,6.805203
0.0,2,6.817574
0.0,2,6.82689
0.0,1,6.834991
0.0,2,6.844396
1.0,3,6.855252
0.0,2,6.863799
1.0,10,6.889103
0.0,2,6.899467
0.0,3,6.9096
0.0,1,6.917646
0.0,1,6.926681
1.0,5,6.941364
0.0,2,6.95141
0.0,3,6.962479
0.0,1,6.970845
1.0,4,6.984056
0.0,1,6.992446
0.0,2,7.001249
0.0,2,7.012171
0.0,2,7.021063
0.0,1,7.035244
0.0,6,7.051021
0.0,5,7.066318
1.0,4,7.080234
0.0,3,7.091469
2.0,8,7.113175
0.0,2,7.122402
0.0,1,7.129739
0.0,3,7.140265
0.0,2,7.149777
1.0,4,7.163466
0.0,1,7.171088
0.0,1,7.178426
0.0,4,7.191566
1.0,4,7.205606
0.0,1,7.21295
0.0,2,7.22354
0.0,2,7.233243
0.0,2,7.242061
0.0,4,7.255646
0.0,2,7.265662
0.0,1,7.27363
0.0,1,7.280898
0.0,3,7.293466
0.0,5,7.308764
1.0,6,7.328614
1.0,8,7.349995
1.0,7,7.371125
0.0,3,7.382698
0.0,2,7.391924
0.0,3,7.404175
1.0,3,7.415354
0.0,1,7.422501
0.0,2,7.433498
0.0,1,7.440923
0.0,2,7.450229
0.0,2,7.460211
0.0,2,7.470327
1.0,4,7.485096
0.0,2,7.494558
0.0,1,7.503522
1.0,5,7.518993
0.0,2,7.529618
0.0,1,7.536927
0.0,2,7.546286
1.0,8,7.567475
0.0,2,7.576872
0.0,2,7.586733
1.0,4,7.600501
0.0,2,7.6085
1.0,4,7.622805
0.0,2,7.632452
0.0,3,7.643907
1.0,5,7.658017
0.0,3,7.669755
0.0,1,7.678601
0.0,3,7.689801
0.0,3,7.701357
1.0,4,7.715225
1.0,4,7.728212
0.0,3,7.739955
1.0,5,7.756238
0.0,4,7.769403
0.0,2,7.77991
0.0,1,7.786767
0.0,1,7.795003
0.0,4,7.808023
0.0,1,7.817895
0.0,3,7.830525
1.0,8,7.853041
1.0,7,7.874491
0.0,3,7.884833
0.0,1,7.892355
0.0,1,7.900072
0.0,1,7.907869
0.0,3,7.919691
0.0,1,7.927795
0.0,3,7.939829
0.0,4,7.952631
0.0,2,7.962681
0.0,2,7.971549
0.0,2,7.982113
0.0,1,7.990036
0.0,2,8.000081
0.0,1,8.008461
0.0,1,8.017227
1.0,3,8.029438
0.0,3,8.041672
0.0,3,8.053283
0.0,2,8.064151
0.0,1,8.072582
1.0,3,8.083926
0.0,2,8.09287
0.0,1,8.10073
1.0,5,8.116598
0.0,2,8.126579
0.0,2,8.135434
1.0,5,8.151487
0.0,1,8.15953
1.0,11,8.18663
0.0,3,8.19889
2.0,11,8.226139
0.0,2,8.235823
0.0,1,8.244834
0.0,1,8.252495
2.0,8,8.275429
1.0,5,8.29177
0.0,1,8.299032
1.0,8,8.324824
0.0,1,8.3327
0.0,5,8.348156
0.0,2,8.356668
0.0,1,8.364904
0.0,2,8.374032
0.0,1,8.381828
0.0,1,8.389142
0.0,5,9.874401
1.0,5,9.90558
0.0,3,9.917612
1.0,6,9.937306
0.0,4,9.950271
1.0,15,9.982313
0.0,1,9.989594
1.0,10,10.013645
0.0,1,10.020988
0.0,1,10.029076
1.0,3,10.04206
0.0,4,10.069247
0.0,3,10.085593
1.0,7,10.105062
0.0,3,10.116592
0.0,1,10.124213
1.0,5,10.140477
0.0,2,10.148878
4.0,14,10.178283
0.0,2,10.188267
0.0,1,10.195935
0.0,1,10.203414
0.0,2,10.211497
0.0,1,10.219308
2.0,8,10.240558
0.0,1,10.247479
1.0,3,10.258715
0.0,1,10.266379
0.0,1,10.273757
0.0,2,10.28134
0.0,2,10.289951
0.0,2,10.300722
0.0,2,10.310419
0.0,3,10.320775
0.0,2,10.329957
0.0,1,10.33713
0.0,1,10.344804
0.0,2,10.355568
3.0,9,10.378754
0.0,1,10.386821
1.0,5,10.403468
1.0,7,10.423587
0.0,1,10.432299
0.0,2,10.440799
0.0,2,10.449561
0.0,1,10.45776
0.0,3,10.467346
0.0,1,10.475082
0.0,1,10.484133
1.0,6,10.500992
0.0,3,10.513281
0.0,2,10.522835
1.0,4,10.535777
0.0,1,10.544357
1.0,5,10.558231
0.0,2,10.567291
1.0,7,10.586272
0.0,1,10.595064
1.0,8,10.61589
0.0,3,10.628937
1.0,6,10.646848
0.0,5,10.661999
1.0,6,10.679157
0.0,3,10.691398
0.0,3,10.701643
0.0,3,10.712184
1.0,7,10.731708
0.0,1,10.738348
1.0,5,10.753906
0.0,4,10.767803
1.0,6,10.786185
0.0,14,10.818404
0.0,4,10.832209
1.0,5,10.848517
0.0,2,10.859177
1.0,5,10.872658
1.0,4,10.88627
0.0,1,10.89361
1.0,6,10.9108
0.0,1,10.918948
0.0,2,10.927335
1.0,7,10.948183
2.0,7,10.967943
0.0,5,10.983801
1.0,5,10.999698
1.0,7,11.020344
0.0,1,11.027206
0.0,2,11.035228
1.0,6,11.0528
0.0,1,11.060608
0.0,3,11.071756
0.0,3,11.083472
2.0,8,11.105613
0.0,2,11.115467
1.0,4,11.128926
0.0,3,11.140211
1.0,6,11.157697
0.0,1,11.166471
0.0,1,11.174959
0.0,2,11.183413
1.0,4,11.197865
0.0,2,11.206535
0.0,2,11.214629
0.0,1,11.22316
0.0,2,11.232042
1.0,5,11.247492
0.0,2,11.258067
0.0,1,11.266255
0.0,3,11.27899
1.0,5,11.294675
0.0,2,11.304152
0.0,1,11.311397
0.0,1,11.318612
0.0,1,11.325626
0.0,2,11.335196
0.0,2,11.344857
0.0,2,11.355043
0.0,5,11.370883
0.0,1,11.378582
0.0,5,11.395569
0.0,1,11.403452
0.0,1,11.4112
0.0,5,11.42623
0.0,5,11.443067
1.0,9,11.465961
0.0,4,11.479208
0.0,7,11.49918
1.0,6,11.516864
1.0,4,11.528944
0.0,2,11.539297
0.0,2,11.548832
0.0,2,11.557961
0.0,1,11.564968
0.0,3,11.575757
0.0,3,11.58635
3.0,12,11.615433
0.0,2,11.625483
0.0,1,11.633369
0.0,2,11.642095
0.0,3,11.65418
1.0,4,11.668766
0.0,5,11.683576
1.0,4,11.697912
0.0,3,11.709499
1.0,6,11.727822
0.0,3,11.739797
0.0,3,11.750366
0.0,1,11.758391
1.0,3,11.769709
0.0,2,11.778774
0.0,3,11.789284
0.0,4,11.803795
1.0,9,11.827965
1.0,5,11.842384
1.0,5,11.856914
1.0,6,11.874577
1.0,7,11.893605
0.0,1,11.900414
1.0,6,11.917307
0.0,1,11.924844
0.0,3,11.935012
1.0,6,11.952019
0.0,2,11.962445
0.0,2,11.970463
0.0,1,11.977738
1.0,5,11.994402
1.0,4,12.00886
0.0,3,12.021293
1.0,6,12.03899
0.0,1,12.046609
0.0,2,12.056315
0.0,3,12.067312
1.0,6,12.085051
0.0,2,12.095535
0.0,2,12.104595
0.0,2,12.113266
1.0,4,12.127723
0.0,2,12.137338
0.0,1,12.144464
1.0,12,12.171706
1.0,8,12.193329
0.0,1,12.201217
0.0,2,12.209623
0.0,6,12.224994
0.0,1,12.232304
0.0,2,12.241049
0.0,2,12.250128
1.0,5,12.263946
0.0,3,12.27551
0.0,3,12.287317
1.0,3,12.298794
0.0,3,12.311009
0.0,6,12.328405
0.0,1,12.336449
0.0,1,12.343431
1.0,5,12.359313
0.0,1,12.367464
0.0,2,12.376033
0.0,1,12.384058
0.0,1,12.39114
0.0,2,12.401029
2.0,8,12.422342
0.0,2,12.432081
0.0,3,12.443539
2.0,7,12.464634
0.0,7,12.484423
1.0,3,12.497111
0.0,1,12.506021
0.0,2,12.516523
2.0,8,12.536615
0.0,3,12.547466
