#{"t_start": 1653470172.6610506, "env_id": null}
r,l,t
0.0,1,17.873425
1.0,8,17.898448
1.0,6,17.919048
0.0,2,17.931829
1.0,4,17.948349
1.0,5,17.966947
0.0,5,17.985273
1.0,6,18.004388
2.0,11,18.034808
2.0,8,18.061654
1.0,4,18.075648
1.0,4,18.091931
2.0,10,18.121601
2.0,7,18.147309
0.0,1,18.15602
0.0,2,18.164416
1.0,5,18.183463
0.0,1,18.191682
0.0,3,18.207045
0.0,2,18.215958
1.0,9,18.243819
0.0,3,18.259328
0.0,1,18.267278
1.0,4,18.28364
2.0,7,18.306325
0.0,3,18.321915
1.0,5,18.340642
1.0,5,18.360588
0.0,2,18.370685
0.0,1,18.379231
2.0,12,18.413877
1.0,7,18.436071
2.0,8,18.463081
0.0,2,18.473438
0.0,2,18.4857
1.0,10,18.516291
0.0,2,18.525007
0.0,5,18.542391
0.0,1,18.550407
0.0,2,18.563094
1.0,8,18.588938
0.0,2,18.601089
1.0,6,18.620109
1.0,4,18.637655
0.0,5,18.654932
0.0,2,18.664378
1.0,5,18.682521
0.0,1,18.690963
0.0,5,18.707853
2.0,8,18.735674
1.0,5,18.753698
1.0,6,18.772037
1.0,7,18.793202
1.0,8,18.81988
1.0,8,18.843164
0.0,2,18.853662
0.0,2,18.864591
0.0,2,18.876564
0.0,3,18.887614
1.0,3,18.902866
1.0,8,18.927475
0.0,5,18.945097
1.0,4,18.958771
0.0,3,18.972347
2.0,7,18.996338
0.0,2,19.008983
1.0,10,19.0386
2.0,7,19.062035
0.0,4,19.079487
0.0,1,19.088486
1.0,6,19.108249
1.0,5,19.127225
0.0,1,19.137768
2.0,7,19.160682
1.0,11,19.19095
0.0,1,19.199454
0.0,3,19.215056
1.0,4,19.231408
0.0,2,19.241148
0.0,1,19.249873
0.0,6,19.27016
0.0,2,19.281322
3.0,10,19.308753
0.0,4,19.32438
0.0,4,19.338871
0.0,1,19.347801
1.0,4,19.363951
1.0,5,19.383277
1.0,6,19.403382
1.0,4,19.421349
1.0,6,19.441585
2.0,8,19.465114
0.0,1,19.476599
0.0,3,19.487439
2.0,6,19.506311
0.0,2,19.517733
0.0,3,19.52877
1.0,4,19.54704
1.0,6,19.568869
1.0,9,19.595283
0.0,3,19.608779
0.0,1,19.617033
0.0,1,19.624968
0.0,1,19.633405
0.0,3,19.646836
0.0,2,19.656205
1.0,3,19.668287
0.0,1,19.677206
2.0,8,19.703649
1.0,5,19.723825
1.0,6,19.743753
1.0,9,19.770992
1.0,7,19.792895
1.0,5,19.812174
0.0,2,19.82366
0.0,2,19.832848
0.0,1,19.841245
0.0,1,19.849492
1.0,6,19.872494
1.0,4,19.888162
1.0,7,19.9125
0.0,1,19.921572
2.0,7,19.943374
0.0,1,19.953695
1.0,6,19.973961
0.0,3,19.985554
0.0,3,20.000672
1.0,5,20.019837
1.0,9,20.047052
